startup_name,year_founded,total_employees,sector,funding_amount_usd_millions,revenue_usd_millions,country,founder_name,notes
Xaira Therapeutics,2024,85,AI Healthcare,1000,12,USA,David Baker,
Reflection AI,2024,42,AI Foundation Models,2200,8,USA,Michael Chen,
Periodic Labs,2024,28,Material Science,300,2,USA,Sarah Williams,
Polymarket,2022,156,Prediction Markets,450,145,USA,Shayne Coplan,
Castellion,2022,180,Defense Tech,460,78,USA,Chris Brose,
Base Energy,2023,92,Clean Energy,1000,34,USA,Zhu Liu,
Fireworks AI,2022,134,AI Infrastructure,250,42,USA,Lin Qiao,
Modal Labs,2023,48,Cloud Computing,110,18,USA,Erik Bernhardsson,
Gamma,2022,67,AI Design Tools,68,25,USA,Grant Lee,
Genspark AI,2023,95,AI Agents,275,31,USA,Kay Kurokawa,
Moonvalley,2023,52,Generative AI,70,9,USA,Oren Aharon,
/dev/agents,2023,38,AI Operating Systems,56,5,USA,David Howell,
Pacific Fusion,2022,115,Fusion Energy,900,0,USA,Aviv Kaufmann,
Thyme Care,2022,210,Oncology Care,280,67,USA,Robbie Cape,
Strive Health,2022,290,Kidney Care,450,98,USA,Justin Wexler,
Lila Sciences,2023,45,Life Sciences,550,8,USA,Brian Naughton,
Stoke Space,2022,165,Aerospace,1000,23,USA,Andy Lapsa,
Devoted Health,2022,1850,Medicare Advantage,2256,1200,USA,Todd Park,
Spring Health,2022,485,Mental Health,640,180,USA,April Koh,
Headway,2022,320,Mental Health,325,95,USA,Andrew Adams,
Grow Therapy,2022,280,Mental Health,158,72,USA,Sonia Khetarpal,
PayZen,2022,92,Healthcare Fintech,232,41,USA,Itzik Cohen,
Atlys,2023,48,Immigration Tech,65,8,USA,Mohak Nahta,
Tomo Credit,2022,73,Fintech,139,28,USA,Kristy Kim,
Slope,2023,58,B2B Payments,252,34,USA,Lawrence Lazarus,
Found,2022,124,Small Business Banking,119,52,USA,Tyler McIntyre,
Monarch Money,2022,86,Personal Finance,100,30,USA,Val Agostino,
Crux Climate,2023,42,Clean Energy Fintech,90,12,USA,Alfred Johnson,
Glean AI,2023,245,Enterprise Search,316,65,USA,Arvind Jain,
